Kanji|English|Utility|Use
適|suitable|5|670
統|unite|5|125
堂|hall|5|1010
導|guide|5|354
銅|copper|5|1505
得|gain|5|175
毒|poison|5|1419
独|alone|5|365
任|appointment|5|217
燃|burn|5|948
能|ability|5|273
破|break|5|590
判|judge|5|197
版|publishing|5|802
犯|criminal|5|874
比|compare|5|329
肥|fertilizer|5|1469
費|expense|5|321
非|not|5|472
備|preparation|5|356
評|comment|5|454
貧|poor|5|1211
婦|lady|5|671
布|textile|5|877
武|military|5|387
復|restore|5|438
複|multiple|5|915
仏|Buddha|5|819
仏|France|5|819
仏||5|819
粉|powder|5|1484
編|knit|5|591
弁|speech|5|619
弁|_|5|619
弁|distinguish|5|619
弁|petal|5|619
弁|_|5|619
弁|queue|5|619
弁||5|619
保|preserve|5|146
墓|grave|5|1337
報|information|5|167
豊|abundant|5|762
暴|violence|5|692
貿|trade|5|652
防|prevent|5|331
脈|vein|5|1477
務|affairs|5|111
夢|dream|5|943
迷|go astray|5|942
綿|cotton|5|1495
輸|import-export|5|371
余|surplus|5|680
容|contain|5|264
率|rate|5|383
率|command|5|383
率||5|383
略|abbreviation|5|774
留|stay|5|731
領|territory|5|138
歴|career|5|632
異|different|6|631
胃|stomach|6|1647
遺|leave behind|6|647
域|region|6|396
宇|universe|6|883
映|reflect|6|404
延|extend|6|747
沿|along|6|1121
恩|debt of gratitude|6|1418
我|ego|6|829
灰|ashes|6|1717
拡|expand|6|611
閣|tall building|6|444
革|leather|6|249
割|split|6|318
株|stock|6|432
巻|roll|6|944
干|dry|6|1349
看|look after|6|1060
簡|simple|6|983
危|dangerous|6|606
揮|wield|6|946
机|desk|6|1671
貴|noble|6|970
疑|suspect|6|283
吸|suck|6|1054
供|offer|6|313
胸|chest|6|1144
郷|hometown|6|1077
勤|service|6|830
筋|muscle|6|744
敬|respect|6|1078
系|system|6|567
警|police|6|366
劇|drama|6|662
激|vehement|6|560
穴|hole|6|1366
券|ticket|6|583
憲|constitution|6|551
権|rights|6|156
絹|silk|6|1916
厳|severe|6|638
源|source|6|738
呼|call|6|498
己|oneself|6|1098
誤|mistake|6|1150
后|empress|6|1583
孝|filial piety|6|1030
皇|emperor|6|721
紅|scarlet|6|1299
鋼|steel|6|1246
降|descend|6|596
刻|engrave|6|866
穀|grain|6|1744
骨|bone|6|936
困|distress|6|843
砂|sand|6|1146
座|seat|6|588
済|settled|6|168
裁|judge|6|297
策|policy|6|209
冊|book counter|6|1313
蚕|silkworm|6|2272
姿|figure|6|441
私|I|6|242
至|utmost|6|996
視|vision|6|362
詞|word|6|1636
誌|magazine|6|851
磁|magnet|6|1686
射|shoot|6|937
捨|throw away|6|1266
尺|unit of length|6|1940
若|young|6|458
樹|trees|6|988
収|income|6|337
宗|religion|6|997
宗|ancestor|6|997
宗||6|997
就|set about|6|624
衆|masses|6|450
従|follow|6|601
縦|vertical|6|1258
縮|shrink|6|909
熟|ripen|6|1415
純|pure|6|1044
処|deal with|6|547
署|office|6|725
諸|various|6|658
除|eliminate|6|594
傷|wound|6|845
将|general officer|6|634
承|agree|6|775
障|hindrance|6|742
蒸|steaming|6|1552
針|needle|6|505
仁|benevolence|6|1332
仁|kernel|6|1332
仁||6|1332
垂|hang down|6|1720
推|infer|6|507
寸|inch|6|1669
盛|prosper|6|712
聖|saint|6|1165
誠|sincerity|6|1128
舌|tongue|6|1830
宣|proclaim|6|695
専|special|6|506
泉|fountainhead|6|1086
洗|wash|6|1168
染|dye|6|837
銭|money|6|1008
善|goodness|6|765
創|creative|6|741
奏|play music|6|1067
層|layer|6|801
操|manipulate|6|1016
窓|window|6|1186
装|attire|6|657
臓|viscera|6|991
蔵|storehouse|6|468
存|exist|6|577
尊|revere|6|1181
退|retreat|6|424
宅|home|6|357
担|carry|6|422
探|search|6|930
誕|be born|6|1024
暖|warm|6|1371
段|step|6|479
値|value|6|518
宙|outer space|6|1005
忠|loyalty|6|1113
著|author|6|849
庁|public office|6|793
潮|tide|6|1231
腸|intestines|6|1807
頂|top|6|1350
賃|wage|6|961
痛|pain|6|903
敵|enemy|6|1205
展|exhibition|6|352
党|political party|6|39
糖|sugar|6|1471
討|suppress|6|528
届|notification|6|939
難|difficult|6|330
乳|milk|6|1289
認|admit|6|198
納|payment|6|987
脳|brain|6|459
派|faction|6|164
俳|haiku|6|1137
拝|worship|6|1443
背|back|6|696
肺|lungs|6|1387
班|squad|6|1592
晩|evening|6|1424
否|or not|6|561
批|criticism|6|568
秘|secret|6|862
俵|straw sack|6|1481
腹|belly|6|1286
奮|excitement|6|1521
並|line up|6|599
閉|shut|6|951
陛|His Majesty|6|1429
片|one of two|6|1076
補|supplement|6|332
暮|dusk|6|978
宝|treasure|6|1139
訪|visit|6|372
亡|deceased|6|661
忘|forget|6|1129
棒|rod|6|1455
枚|flat objects|6|911
幕|curtain|6|835
幕|shogunate|6|835
幕||6|835
密|secret|6|815
盟|alliance|6|587
模|pattern|6|668
訳|translate|6|1050
優|superior|6|334
郵|mail|6|917
預|deposit|6|981
幼|infant|6|1227
欲|desire|6|902
翌|next day|6|1070
乱|disorder|6|755
卵|egg|6|1342
覧|look over|6|1510
裏|rear|6|812
律|rhythm|6|992
臨|presence|6|722
朗|sonorous|6|1374
論|theory|6|227
哀|grief|7|1715
扱|handle|7|1057
偉|great|7|1639
違|differ|7|344
逸|deviate|7|1524
陰|shade|7|1393
隠|hide|7|1089
影|silhouette|7|464
鋭|sharp|7|1395
越|go over|7|897
汚|dirty|7|908
奥|inmost|7|1018
押|push|7|789
懐|nostalgia|7|1493
皆|all|7|1267
隔|separate|7|1382
掛|set|7|1027
乾|dry|7|1453
勧|advise|7|1068
換|convert|7|687
甘|sweet|7|1248
緩|slack|7|933
缶|tin can|7|1543
奇|extraordinary|7|1367
幾|how many|7|1725
鬼|demon|7|1557
儀|ceremony|7|739
吉|lucky|7|711
詰|stuff|7|1020
丘|hill|7|1405
及|attain|7|544
巨|huge|7|892
虚|hollow|7|1454
恐|fear|7|878
況|situation|7|490
狂|crazy|7|1425
狭|narrow|7|1346
響|echo|7|502
驚|astonish|7|1141
傾|incline|7|938
刑|penalty|7|864
契|pledge|7|898
恵|favor|7|925
慶|felicitate|7|1300
携|carry|7|1017
継|succeed to|7|743
迎|welcome|7|625
撃|attack|7|473
兼|concurrently|7|1164
剣|sword|7|1305
圏|zone|7|1216
堅|solid|7|1049
嫌|dislike|7|1207
顕|manifest|7|1536
互|mutual|7|914
御|honorific prefixes|7|1087
荒|stormy|7|1099
込|into|7|675
婚|marriage|7|767
魂|soul|7|1748
彩|coloring|7|1251
歳|age|7|269
載|load|7|825
剤|drug|7|1151
削|whittle|7|814
刺|pierce|7|1031
湿|damp|7|1517
趣|flavor|7|1153
