kanji|reading|meaning|freaquency
開く|あく|[1] to open (e.g. doors) [2] to open (e.g. business, etc.) [3] to be empty|2558
池|いけ|pond|2638
彼方|あちら|[1] that way; that direction; over there; yonder [2] that (one) [3] that person|2711
五つ|いつつ|[1] five [2] five years of age [3] eight o'clock (old time system)|2934
映画館|えいがかん|movie theatre; movie theater; cinema|3235
厚い|あつい|[1] thick; deep; heavy [2] kind; cordial; hospitable; warm; faithful [3] serious (of an illness)|3290
家|いえ|[1] house; residence; dwelling [2] family; household [3] lineage; family name|3558
鉛筆|えんぴつ|pencil|3791
いいえ|[1] no [2] you're welcome; not at all; don't mention it|3852
青|あお|[1] blue; azure [2] green [3] green light (traffic)|3923
エレベーター|[1] elevator; lift [2] elevator|3973
明ける|あける|[10] to make (a hole); to open up (a hole) [1] to open (a door, etc.); to unwrap (e.g. parcel, package); to unlock [2] to open (for business, etc.)|4709
明く|あく|[1] to open (e.g. doors) [2] to open (e.g. business, etc.) [3] to be empty|4912
