徐々 |じょじょ |[1] slow; gradual; steady [2] calm; composed; relaxed |1879
女優 |じょゆう |actress; female actor |N/A
人工 |じんこう |artificial; man-made; human work; human skill; artificiality |N/A
人種 |じんしゅ |[1] race (of people) [2] type of person |4124
人生 |じんせい |(one's) life |405
人物 |じんぶつ |[1] person; character; figure; personage; man; woman [2] one's character; one's personality [3] able person; talented person |1344
人類 |じんるい |mankind; humanity |1776
|ジーンズ |[1] jeans [2] denim; jean |N/A
州 |す |sandbank; sandbar |N/A
巣 |す |[1] nest; rookery; breeding place; hive [2] den [3] haunt |2857
水準 |すいじゅん |[1] level; standard [2] water level |3426
推薦 |すいせん |recommendation; referral; endorsement |N/A
|スイッチ |[1] switch [2] switch; points [3] switch (from one thing to another); change |4254
睡眠 |すいみん |sleep |4782
数 |すう |[1] several; a few; a number of [2] number; quantity; amount [3] counting; calculation; figures; numbers |N/A
数字 |すうじ |[1] numeral; digit; numeric character [2] figure; number [3] a few characters |1420
末 |すえ |[1] end; tip; top [2] end (of the year, month, etc.); close [3] youngest child |2679
姿 |すがた |[1] figure; form; shape [2] appearance; dress; guise [3] state; condition; picture; image |444
|スキー |[1] skiing [2] ski; skis |1432
空く |すく |[1] to become less crowded; to thin out; to get empty [2] to be hungry |3311
救う |すくう |to rescue from; to help out of; to save |2471
優れる |すぐれる |to be better (than); to be superior; to surpass; to excel; to be excellent |1711
|スケート |skating (esp. ice); skate; skates |N/A
少しも |すこしも |(not) at all; (not) a bit; (not) in the least; (not) in the slightest |N/A
過ごす |すごす |[1] to spend (time); to pass; to lead (a life); to live [2] to overdo (esp. alcohol consumption); to drink (alcohol); to carry too far; to carry to excess [3] to take care of; to support |556
筋 |すじ |[10] source (of information, etc.); circle; channel [11] well-informed person (in a transaction) [12] logical move (in go, shogi, etc.) |3239
進める |すすめる |[1] to advance; to move forward; to put (a clock, watch) forward [2] to carry forward (plans, work, etc.); to proceed with; to make progress in; to further; to advance; to hasten; to speed up [3] to raise; to elevate; to promote; to develop; to stimulate (e.g. one's appetite) |677
勧める |すすめる |[1] to recommend (someone to do); to advise; to encourage; to urge [2] to recommend (a book, someone for a position, etc.); to suggest [3] to offer (a drink, cigarette, seat, etc.) |1057
|スタイル |[1] (one's) figure; build; physique; shape [2] style |2312
|スタンド |[1] stands; bleachers [2] stand (e.g. newspaper stand); counter (e.g. lunch counter) [3] stand (e.g. inkstand) |N/A
|スター |[1] star (actor, athlete, etc.); celebrity [2] star (symbol); asterisk [3] (celestial) star |N/A
素敵 |すてき |lovely; wonderful; nice; great; splendid; marvellous; fantastic; superb |1516
既に |すでに |[1] already [2] previously; before [3] undeniably; unmistakably; in the first place |463
即ち |すなわち |[1] that is (to say); namely; i.e. [2] precisely; exactly; just; nothing but; neither more nor less [3] (and) then |922
素晴らしい |すばらしい |wonderful; splendid; magnificent |712
|スピーチ |speech |2967
全て |すべて |[1] everything; all; the whole [2] entirely; completely; wholly; all |266
済ませる |すませる |[1] to finish; to make an end of; to get through with; to let end [2] to make do (with); to manage (with) [3] to resolve; to settle; to bring to a conclusion |N/A
済みません |すみません |[1] excuse me; pardon me; I'm sorry; I beg your pardon [2] thank you; you shouldn't have; it's too much |1640
鋭い |するどい |[1] sharp (knife, claws, etc.); pointed [2] sharp (pain, tone, etc.); acute; stabbing; cutting (remark, criticism, etc.); stinging; biting; fierce (attack); pointed (question, look, etc.); piercing (gaze); shrill (sound) [3] keen (intuition, sense of smell, etc.); acute; sharp (eye, mind, etc.); astute; shrewd; discerning; penetrating (insight, question, etc.); perceptive |2951
|スープ |(Western) soup |2500
図 |ず |[1] drawing; picture; diagram; figure; illustration; chart; graph; map [2] sight; scene |517
随分 |ずいぶん |[1] very; extremely; surprisingly; fairly; quite; considerably; awfully; terribly [2] terrible; horrid; contemptible; reprehensible [3] remarkable; extraordinary |827
